id,status,title,progress,score,start_date,finish_date,last_watch_date,total_rewatch,notes
6b5a4690de60,plan to watch,"10,27.09.2025, [*] Attack on titan OVA 8 ep",,,,,,,
576b855aaeca,plan to watch,"10,24.09.2025,28.09.2025,29.09.2025, [*] Attack on titan 2 season 12 ep",,,,,,,
f77fd0431545,plan to watch,"5.6,28.09.2025, [*] Kakushite! Makina-san!! 12 ep",,,,,,,
c1fd4aafbb76,plan to watch,"10,29.09.2025, [*] Attack on titan 3 season Part 1 12 ep",,,,,,,
32d490d14e5b,plan to watch,"10,30.09.2025, [*] Attack on titan 3 season Part 2 12 ep",,,,,,,
c11266864ad5,plan to watch,"9,07.10.2025, [*] Original Sin Takopi 6 ep",,,,,,,
fbf2eb9cd7a0,plan to watch,"9,08.10.2025,13.10.2025,10.12.2025,14.02.2026,16.02.2026 [*] Nagatoro 12 ep",,,,,,,
b922b074d4d5,plan to watch,",14.10.2025,17.11.2025, [ ] One Punch Man 3 7, (8 a bit) ep",,,,,,,
d0e3cef281f8,plan to watch,",15.10.2025,28.11.2025,06.12.2025,12.02.2025 [ ] Spy x Family 3 14 ep",,,,,,,
39481b7e7c10,plan to watch,",15.10.2025,06.12.2025,09.01.2026,11.02.2026 [ ] Fumetsu no Anata 3 16 ep",,,,,,,
4f51f865be33,plan to watch,"10,18.10.2025, [*] no longer allowed in another world 12 ep",,,,,,,
1b31859a71a7,plan to watch,"3.9,19.10.2025, [*] Colorful (Movie)",,,,,,,
cbe7b10d629b,plan to watch,"8,19.10.2025,20.10.2025 [*] Combatants will be dispatched 12 ep",,,,,,,
620011b4aed8,plan to watch,"7.6,21.10.2025,30.11.2025, [*] the worlds finest assasin gets reincarnated in another world as aristocrat",,,,,,,
174c3bd03d45,plan to watch,"9,20.11.2025,01.12.2025, [*] from bureaucrat to villainess dads been reincarnated (Akuyaku Reijou Tensei Ojisan), 10 ep",,,,,,,
1f01bb8dee48,plan to watch,",30.11.2025,07.03.2026 [ ] Owarimonogatari 1 ep",,,,,,,
70c1b75c23d8,plan to watch,",01.12.2025, [ ] Wise Man’s Grandchild ( Kenja no Mago ) 2 ep",,,,,,,
3cc149e5dcd5,plan to watch,"9.5,01.12.2025,05.12.2025 [*] blend s 12 ep",,,,,,,
c12d16115141,plan to watch,"10,07.12.2025, [*] Steins;Gate 0 22 ep",,,,,,,
a7184b276539,plan to watch,",09.12.2025, [x] Eromanga sensei 1 ep",,,,,,,
254bd196ff93,plan to watch,",10.12.2025, [ ] chainsaw man 9 ep",,,,,,,
fc95bfdf1a28,plan to watch,",12.12,2025, [ ] saving 80000 in another world for my retirement (老後に備えて異世界で８万枚の金貨を貯めます), 2 ep",,,,,,,
c88edb8d7d6c,plan to watch,",03.01.2026, [ ] Bocchi the rock 4 ep",,,,,,,
838c3938f901,plan to watch,",04.01.2026,12.05.2026 [ ] Berserk 1997 16 ep",,,,,,,
40d5146e3505,plan to watch,"9,06.01.2026, [*] Parasite 24 ep",,,,,,,
33029033f757,plan to watch,"9.8,06.01.2026, [*] Overlord 13 ep",,,,,,,
c00ab702df9b,plan to watch,"5.4,09.01.2026, [*] Overlord II 13 ep",,,,,,,
483ef1eaedb3,plan to watch,",09.01.2026, [x] Wonder Egg Priority 2 ep",,,,,,,
d4d95fbb33a6,plan to watch,",09.01.2026, [ ] the hidden dungeon only i can enter 1 ep",,,,,,,
5b216f694b8d,plan to watch,"10,13.01.2026,14.01.2026, [*] Attack on titan 4 season + film",,,,,,,
68630ebb3a2c,plan to watch,",14.01.2026, [ ] Gintama 1 ep",,,,,,,
58234526c5d5,plan to watch,"9.8,14.01.2026, [*]  Chainsaw Man: Reze-hen",,,,,,,
8a0829cf1085,plan to watch,",16.01.2026, [ ] Mirai Nikki 1 ep",,,,,,,
ee026ecec80b,plan to watch,",17.01.2026,22.02.2026,07.03.2026,27.03.2026,12.05.2026 [ ] frieren 2 season 10 ep",,,,,,,
4480997fdad6,plan to watch,",17.01.2026,12.05.2026 [ ] zankyou no terror 7 ep",,,,,,,
0674f18233e3,plan to watch,"8.6,21.01.2026,27.01.2026 [*] Cautious hero (Shinchou Yuusha) 12 ep",,,,,,,
666bb1361868,plan to watch,"10,27.01.2026,28.01.2026 [*] Re Zero Season 26 episodes",,,,,,,
e46e7608a4c0,plan to watch,",26.02.2026,02.03.2026,08.03.2026 [*] Date A Live 12 ep",,,,,,,
fe1fc29e35bc,plan to watch,",05.03.2026,06.03.2026,27.03.2026 [ ] Youjo Senki (Tanya the evil) 9 ep",,,,,,,
e9ec8179ca88,plan to watch,",05.03.2026,12.0.5.2026 [ ] Kakegurui 3 ep",,,,,,,
4d2412c39f5d,plan to watch,",08.03.2026,09.03.2026 [ ] Date a Live II 2 ep",,,,,,,
bac5bfa240b1,plan to watch,",10.03.2026,18.03.2026,11.04.2026 [ ] Seihantai na kimi to boku(YOU AND I ARE POLAR OPPOSITES) 10 ep",,,,,,,
97db3e8cbcf9,plan to watch,"13.03.2026, [*] sankarea (zombie girlfriend) 12 ep",,,,,,,
33ee731334c0,plan to watch,",27.03.2026, [ ] Black Lagoon 2 ep",,,,,,,
95df9eb3bc9d,plan to watch,"8,27.03.2026,29.03.2026, [*] Fantasy Bishoujo Juniku Ojisan to 12 ep",,,,,,,
d6696cc47ae6,plan to watch,",06.04.2026, [x] Beheneko: The Elf-Girl’s Cat is Secretly an S-Ranked Monster!, 1 ep",,,,,,,
86a544fcaf3c,plan to watch,",15.04.2026, [ ] Sarayia Goyou 1 ep (House of Five Leaves)",,,,,,,
39fa447883ad,plan to watch,"8.7,01.05.2026,02.05.2026,03.05.2026 [*] Yofukashi no Uta, 13 ep",,,,,,,
1ed63c4ebbf6,plan to watch,"10,03.05.2026,06.05.2026 [*] Cowboy Bebop 26 ep",,,,,,,
34d69f3a486b,plan to watch,",06.05.2026,12.05.2026 [ ] Charlotte 4 ep",,,,,,,
827653e30818,plan to watch,",07.05.2026,19.05.2026,28.05.2026,05.06.2026 [ ] Re Zero Season 4 8 ep",,,,,,,
fb10d192fb39,plan to watch,",07.05.2026,12.05.2026,30.05.2026 [ ] That Time I got reincarnated as a Slime Season 4 8 ep",,,,,,,
4ba0c62cb2a9,plan to watch,"10,08.05.2026,09.05.2026 [*] chi. chikyuu no undou ni tsuite (orb on the movements of the earth) 25 ep",,,,,,,
e3b7695e02fe,plan to watch,",19.05.2026 [ ] Yofukashi no Uta Season 2, 1 ep",,,,,,,
bae7ac47c0fa,plan to watch,"6.8,20.05.2026 [*] Magic Maker ISEKAI MAHOU NO TSUKURIKATA 12 ep",,,,,,,
69ed10dc437a,plan to watch,",28.05.2026,05.06.2026 [ ] ISEKAI NONBIRI NOUKA 5 (7:32)  ep",,,,,,,
ff57573cad8a,plan to watch,"9.8,30.05.2026,31.05.2026,01.06.2026 [*]  Delicious in Dungeon (DUNGEON MESHI) 24 ep",,,,,,,
8161d72eed47,plan to watch,",04.06.2026, [ ] Plastic Memories 1 ep",,,,,,,
e267817afd9f,plan to watch,",05.06.2026,06.06.2026 [ ] Goblin Slayer 5 ep",,,,,,,
